ED_ID,BDYSET_ID,ED_ABBREV,ED_NAME,WIKIDATA,GAZETTE_DT,FEAT_AREA,FEAT_PERIM,OBJECTID,MS_FB,MS_FB_PARE
206,10,NEC,Nechako Lakes,Q17015353,,73796544903.020599365234375,2084196.187799999956042,207,country:ca/province:bc/ed:nec-2015,country:ca/province:bc
207,10,NEL,Nelson-Creston,Q6990322,,13212141517.251699447631836,972131.102700000046752,208,country:ca/province:bc/ed:nel-2015,country:ca/province:bc
208,10,NEW,New Westminster,Q7012408,,14312311.638699999079108,17962.704300000001240,209,country:ca/province:bc/ed:new-2015,country:ca/province:bc
209,10,NOC,North Coast,Q7054847,,143864100825.819000244140625,2236835.600399999879301,210,country:ca/province:bc/ed:noc-2015,country:ca/province:bc
210,10,NOI,North Island,Q7055717,,45035737942.545600891113281,1520870.982700000051409,211,country:ca/province:bc/ed:noi-2015,country:ca/province:bc
211,10,NVL,North Vancouver-Lonsdale,Q7057107,,25267842.239799998700619,25771.071299999999610,212,country:ca/province:bc/ed:nvl-2015,country:ca/province:bc
212,10,NVS,North Vancouver-Seymour,Q13581589,,388168994.107200026512146,93199.696100000001024,213,country:ca/province:bc/ed:nvs-2015,country:ca/province:bc
213,10,OBG,Oak Bay-Gordon Head,Q7073425,,329511630.552399992942810,76034.210500000001048,214,country:ca/province:bc/ed:obg-2015,country:ca/province:bc
214,10,PAQ,Parksville-Qualicum,Q7138727,,977519604.266899943351746,161530.369199999986449,215,country:ca/province:bc/ed:paq-2015,country:ca/province:bc
215,10,PCN,Peace River North,Q7157440,,175813341904.863006591796875,2864559.906400000210851,216,country:ca/province:bc/ed:pcn-2015,country:ca/province:bc
216,10,PCS,Peace River South,Q7157443,,30363657871.059398651123047,1238556.675300000002608,217,country:ca/province:bc/ed:pcs-2015,country:ca/province:bc
243,10,VFV,Vancouver-Fraserview,Q7914098,,12791579.542099999263883,16860.784500000001572,244,country:ca/province:bc/ed:vfv-2015,country:ca/province:bc
244,10,VHA,Vancouver-Hastings,Q7914099,,13688951.712700000032783,14998.632600000000821,245,country:ca/province:bc/ed:vha-2015,country:ca/province:bc
245,10,VKE,Vancouver-Kensington,Q7914100,,8951962.110500000417233,12119.635700000000725,246,country:ca/province:bc/ed:vke-2015,country:ca/province:bc
246,10,VKI,Vancouver-Kingsway,Q7914101,,8761394.211200000718236,12992.825000000000728,247,country:ca/province:bc/ed:vki-2015,country:ca/province:bc
